implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI root-in block-x cusparse CU,CSR,eu-2005.mtx,862664,862664,19235140,3,2.316304900e-04,2.247915725e-05,166.084698090,1.116449000e-04,1.040383980e-04,4.492943155e+00,4.872168989e-01,1.177412900e-02,1,7.450580597e-06
MPI root-in block-x cusparse CU,CSR,Si41Ge41H72.mtx,185639,185639,15011265,3,2.046028300e-04,1.159403992e-05,146.735653656,1.165403800e-04,9.311232172e-05,4.079415710e+00,3.301959818e-01,6.035094000e-03,1,7.017580966e-06
MPI root-in block-x cusparse CU,CSR,Rucci1.mtx,1977885,109900,7791168,3,1.497231400e-04,2.166811829e-05,104.074333466,6.662558000e-05,6.537215978e-05,4.021561367e+00,8.467357662e-01,5.619874000e-03,1,2.610918273e-07
MPI root-in block-x cusparse CU,CSR,FullChip.mtx,2987012,2987012,26621990,3,1.129370880e-03,6.850223781e-06,47.144813934,9.604784600e-04,2.236518374e-04,1.299021263e+01,2.750770011e+00,1.776150400e-02,1,1.080270620e-03
MPI root-in block-x cusparse CU,CSR,rajat31.mtx,4690002,4690002,20316253,3,1.897444000e-04,3.598051256e-06,214.143373929,2.697274000e-05,1.434931205e-04,1.019626138e+01,2.707021876e-01,1.229777200e-02,1,2.777576447e-04
MPI root-in repl-x cusparse CUD,CSR,ldoor.mtx,952203,952203,46522475,3,2.124556600e-04,1.393623710e-06,437.949970361,0.000000000e+00,2.034380782e-04,1.177826203e+01,2.518197747e-01,2.510204200e-02,0,1.039617180e+01
MPI root-in repl-x cusparse CUD,CSR,webbase-1M.mtx,1000005,1000005,3105536,3,5.159887000e-05,9.323059225e-07,120.372248462,0.000000000e+00,4.264959954e-05,1.346896092e+00,2.075225078e-02,5.362710000e-03,1,7.289041539e-07
MPI root-in repl-x cusparse CUD,CSR,bone010.mtx,986703,986703,71666325,3,2.961096700e-04,6.649929184e-07,484.052580924,0.000000000e+00,2.869760016e-04,1.521295453e+01,3.369072728e-01,3.040187100e-02,0,6.276957065e-03
MPI root-in repl-x cusparse CUD,CSR,boyd2.mtx,466316,466316,1500397,3,4.045390000e-05,1.136708507e-06,74.178113853,0.000000000e+00,3.175423954e-05,3.184745560e-01,7.790932258e-03,4.009630000e-03,1,2.151901581e+02
MPI root-in repl-x cusparse CUD,CSR,ASIC_680ks.mtx,682712,682712,2329176,3,4.449727000e-05,8.543273826e-07,104.688489878,0.000000000e+00,3.538944080e-05,1.145649507e+00,1.400912323e-02,7.006332000e-03,1,5.070871004e-02
MPI root-in repl-x cusparse CUD,CSR,eu-2005.mtx,862664,862664,19235140,3,1.099295100e-04,8.609680190e-07,349.954075116,0.000000000e+00,1.009766369e-04,4.516261497e+00,1.250890198e-01,1.359639900e-02,1,7.450580597e-06
MPI root-in repl-x cusparse CUD,CSR,Si41Ge41H72.mtx,185639,185639,15011265,3,8.922200000e-05,8.187484715e-07,336.492457016,0.000000000e+00,8.014847733e-05,4.078467787e+00,9.067588032e-02,7.088529000e-03,1,6.850613335e-06
MPI root-in repl-x cusparse CUD,CSR,Rucci1.mtx,1977885,109900,7791168,3,7.694598000e-05,8.415741197e-07,202.510072651,0.000000000e+00,6.799360067e-05,4.007378609e+00,7.968048374e-02,8.267497000e-03,1,2.610918273e-07
MPI root-in repl-x cusparse CUD,CSR,FullChip.mtx,2987012,2987012,26621990,3,1.832744600e-04,6.456827458e-07,290.515001380,0.000000000e+00,1.743257628e-04,1.299280923e+01,1.654668961e-01,1.724819700e-02,1,4.810702203e-04
MPI root-in repl-x cusparse CUD,CSR,rajat31.mtx,4690002,4690002,20316253,3,1.682287600e-04,8.501914027e-07,241.531269684,0.000000000e+00,1.590067190e-04,1.021296225e+01,1.075661105e-01,1.490256000e-02,1,2.777576447e-04
MPI root-in cyclic-x cusparse C,CSR,ldoor.mtx,952203,952203,46522475,4,2.588509170e-03,4.343046369e-04,35.945381642,2.408042380e-03,1.673216005e-04,1.179912109e+01,3.671505602e+00,2.022575500e-02,0,1.039617180e+01
MPI root-in cyclic-x cusparse C,CSR,webbase-1M.mtx,1000005,1000005,3105536,4,2.590079700e-04,9.059815473e-05,23.980235048,2.125245600e-04,2.928639986e-05,1.352353618e+00,1.540046869e-01,2.846566000e-03,1,1.142275076e-06
MPI root-in cyclic-x cusparse C,CSR,bone010.mtx,986703,986703,71666325,4,2.829608910e-03,4.805883397e-04,50.654579682,2.587977100e-03,2.244300777e-04,1.525292298e+01,5.469884456e+00,3.120284800e-02,0,6.131001071e-03
MPI root-in cyclic-x cusparse C,CSR,boyd2.mtx,466316,466316,1500397,4,6.543103500e-04,1.162692712e-04,4.586193692,6.165976700e-04,1.989631932e-05,3.176682860e-01,1.189045565e-01,3.879493000e-03,1,4.365163746e+02
MPI root-in cyclic-x cusparse C,CSR,ASIC_680ks.mtx,682712,682712,2329176,4,7.003081400e-04,1.299652064e-04,6.651860422,6.458103200e-04,3.195903961e-05,1.143675731e+00,1.288364043e-01,6.376403000e-03,1,3.744061245e-02
MPI root-in cyclic-x cusparse C,CSR,eu-2005.mtx,862664,862664,19235140,4,1.501680270e-03,2.591085729e-04,25.618156387,1.394229490e-03,8.378367856e-05,4.502119441e+00,1.398508997e+00,1.186841400e-02,1,7.808208466e-06
MPI root-in cyclic-x cusparse C,CSR,Si41Ge41H72.mtx,185639,185639,15011265,4,5.895180600e-04,1.086264379e-04,50.927243857,4.977334500e-04,7.109632149e-05,4.083590421e+00,1.130387793e+00,6.732247000e-03,1,7.605211852e-06
MPI root-in cyclic-x cusparse C,CSR,Rucci1.mtx,1977885,109900,7791168,4,3.496686900e-04,6.427796340e-05,44.563143472,2.663492600e-04,6.284287892e-05,4.037712044e+00,6.100929812e-01,4.547588000e-03,1,2.610918273e-07
MPI root-in cyclic-x cusparse C,CSR,FullChip.mtx,2987012,2987012,26621990,4,6.509503370e-03,1.002344621e-03,8.179422757,6.335889410e-03,1.423974384e-04,1.303288288e+01,2.386447009e+00,2.090018900e-02,1,1.251503418e-04
MPI root-in cyclic-x cusparse C,CSR,rajat31.mtx,4690002,4690002,20316253,4,7.274666450e-03,1.977774086e-03,5.585480280,7.111018380e-03,1.222758403e-04,1.021531491e+01,1.310623949e+00,1.798978700e-02,1,2.777576447e-04
MPI root-in block-x cusparse CU,CSR,ldoor.mtx,952203,952203,46522475,4,5.371348600e-04,4.947580677e-05,173.224560402,3.645153700e-04,1.647616000e-04,1.180568158e+01,1.667339774e+00,2.014369600e-02,0,1.132455043e+01
MPI root-in block-x cusparse CU,CSR,webbase-1M.mtx,1000005,1000005,3105536,4,1.029103400e-04,1.003140412e-05,60.354207361,5.043039000e-05,3.958783861e-05,1.351248131e+00,1.108821135e-01,8.357095000e-03,1,4.509367679e-07
MPI root-in block-x cusparse CU,CSR,bone010.mtx,986703,986703,71666325,4,3.217085600e-04,1.792073902e-05,445.535704739,8.240747000e-05,2.250035180e-04,1.525185652e+01,8.738322774e-01,2.636281400e-02,0,6.941101092e-03
MPI root-in block-x cusparse CU,CSR,boyd2.mtx,466316,466316,1500397,4,7.036380600e-04,1.480951228e-04,4.264684034,6.544998100e-04,2.855936032e-05,3.201236390e-01,2.439745697e-01,9.984327000e-03,1,5.874836254e+02
MPI root-in block-x cusparse CU,CSR,ASIC_680ks.mtx,682712,682712,2329176,4,8.912329000e-05,6.368983744e-06,52.268626977,3.900716000e-05,3.066879954e-05,1.145040848e+00,2.971367499e-02,9.779649000e-03,1,3.744061245e-02
MPI root-in block-x cusparse CU,CSR,eu-2005.mtx,862664,862664,19235140,4,3.205274000e-04,7.508425170e-05,120.021814048,2.205190600e-04,8.442879863e-05,4.517004483e+00,4.375210828e-01,1.164745600e-02,1,7.450580597e-06
MPI root-in block-x cusparse CU,CSR,Si41Ge41H72.mtx,185639,185639,15011265,4,2.868183100e-04,5.068636925e-05,104.674384282,2.046873700e-04,7.591936320e-05,4.094420992e+00,4.604768406e-01,6.418639000e-03,1,7.017580966e-06
MPI root-in block-x cusparse CU,CSR,Rucci1.mtx,1977885,109900,7791168,4,1.604917800e-04,2.177903291e-05,97.091178127,8.476961000e-05,5.594112031e-05,4.040645607e+00,6.762628636e-01,4.506245000e-03,1,2.610918273e-07
